id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;society_id
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-07-08T03:23:11;71697;45464;GHVD6558
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-07-08T07:20:03;75289;21024;GIRP8963
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-07-07T16:23:27;71090;65309;MLKJ7412
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-07-07T11:53:04;52820;82484;PROL5207
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-07-08T06:30:58;13439;33970;MAPR9641
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-07-07T15:17:10;64329;13556;WXFE8541
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-07-07T17:47:18;54588;45928;KFJG5296
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-07-08T07:50:42;3244;21747;RTNE8596
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-07-07T23:11:21;90189;81327;ZRMF8541
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-07-07T11:51:31;32637;8639;YTNS9671
